label,text,source
spam,"thanks for your ringtone order, reference number x29. your mobile will live lodge 4.50. should your tone not arrive please yell customer services 09065989180",llm_balanced
ham,Prabha..i'm soryda..realy..frm heart i'm sory,uci
ham,"Gud gud..k, chikku tke care.. sleep well gud nyt",uci
ham,"Superb Thought- \Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today.\"":-)""",uci
ham,I hate when she does this. She turns what should be a fun day into an annoying day of quarrels.,mishra_soni
spam,not see from u4 a while. call 4 rude chat private line 01223585334 to cum. wan 2c pics of me gettin shagged then text pix to 8552.,llm_balanced
spam,u r a winner U ave been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 ),uci
ham,Jus finish blowing my hair. U finish dinner already?,uci
ham,From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke,uci
spam,"bring cricex live during india vs. netherlands meet - win ipad, blackberry & team india jerseys at the end of the match. logon to http://m.ibibo.com/c/10",llm_balanced
ham,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(,uci
spam,Collect your VALENTINE'S weekend to PARIS inc Flight & Hotel + å£200 Prize guaranteed! Text: PARIS to No: 69101. www.rtf.sphosting.com,uci
spam,"goal! arsenal 4 (henry, 7 v liverpool 2 henry scores with a simple shot from 6 yards from a pass by bergkamp to reach arsenal a 2 goal margin after 78 mins.",llm_balanced
spam,need the latest video handset? 750 anytime any network mins? half price line rental? reply or call 08000930705 for delivery tomorrow,llm_balanced
spam,"sms. ac blind date 4u!: rodds1 be 21/m from aberdeen, united kingdom. discipline him out http://img. sms. ac/w/icmb3cktz8r7!-4 no blind dates send hide",llm_balanced
ham,ALRITE SAM ITS NIC JUST CHECKIN THAT THIS IS UR NUMBER-SO IS IT?T.B*,uci
ham,Its normally hot mail. Com you see!,uci
ham,How would my ip address test that considering my computer isn't a minecraft server,uci
spam,freemsg: hey - i'm buffy. 25 and enjoy to meet men. home alone palpate randy. reply 2 c my pix! qlynnbv help08700621170150p a msg send stop to stop txts,llm_balanced
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,uci
ham,Are you free now?can i call now?,uci
spam,camera - you constitute grant a sipix digital camera! call 09061221067 fromm landline. delivery within 28 days.,llm_balanced
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575.",mishra_soni
spam,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",uci
ham,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it.,mishra_soni
spam,wamma get laid?want real doggin locations sent direct to your mobile? join the UKs largest dogging network. txt dogs to 69696 now!nyt. ec2a. 3lp å£1.50/msg.,uci
ham,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed,uci
ham,"I am late,so call you tomorrow morning.take care sweet dreams....u and me...ummifying...bye.",uci
ham,No de.am seeing in online shop so that i asked.,uci
ham,Yup it's at paragon... I havent decided whether 2 cut yet... Hee...,uci
spam,u 447801259231 ingest a secret admirer who exist face 2 make contact with u-find out who they r*reveal who thinks ur so special-call on 09058094597,llm_balanced
ham,I'm very happy for you babe ! Woo hoo party on dude!,uci
spam,please bid our customer service representative on 0800 169 6032 between 10am-9pm as you ingest advance a guaranteed Â£2000 cash or Â£6000 prize!,llm_balanced
ham,Still at west coast... Haiz... ÌÏ'll take forever to come back...,uci
spam,"449050000301 You have won a Â£2,000 price! To claim, call 09050000301.",mishra_soni
spam,dear subscriber ur draw 4 Â£100 gift voucher will b entered on receipt of a correct ans. when embody elvis presleys birthday? txt answer to 80062,llm_balanced
spam,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum.,mishra_soni
ham,Even i cant close my eyes you are in me our vava playing umma :-D,uci
ham,That's significant but dont worry.,uci
ham,"Received, understood n acted upon!",uci
ham,We stopped to get ice cream and will go back after,uci
ham,Near kalainar tv office.thenampet,uci
spam,natalja (25/f) exist bid you to be her friend. see her: www.sms.ac/u/nat27081980 stop? send stop frnd to 62468,llm_balanced
spam,Dear Customer your pyatm wallet Has been booked and hold Your amount please complete your kyc contact customer care 6299257179,mishra_soni
spam,"thanks for your ringtone order, reference number x49. your mobile will be institutionalize 4.50. should your tone not arrive please call customer services 09065989182. from: [colour=red]text[/colour]txtstar",llm_balanced
spam,Marvel Mobile Play the official Ultimate Spider-man game (Â£4.50) on ur mobile right now. Text SPIDER to 83338 for the game & we ll send u a FREE 8Ball wallpaper,mishra_soni
spam,we ingest identified some unusual activity on your online banking. please log in via the secure link http:owly/npyl308kywg to deflect account suspension,llm_balanced
